objID,petroMag_u,petroMag_g,petroMag_r,spiral,elliptical,z
1237648705114210386,19.6293,18.01062,17.12664,1,0,0.093841
1237648705114275980,19.12082,17.84818,17.10061,1,0,0.067232
1237648705114407065,20.44545,18.72372,17.74577,1,0,0.130309
1237648705114407118,19.4458,18.09055,17.1243,1,0,0.095759
1237648705114538151,18.59834,17.44525,17.05901,1,0,0.052504
1237648705114538169,17.9122,16.61016,15.9621,1,0,0.067623
1237648705114603547,18.39223,17.20361,16.62244,1,0,0.082646
1237648705114734852,20.09365,18.53875,17.62648,1,0,0.09171
1237648705114997031,20.7186,18.26303,17.73593,1,0,0.068123
1237648705651015857,19.88842,18.15688,17.10369,1,0,0.119367
1237648705651540059,18.84918,17.62077,17.09227,1,0,0.089297
1237648705651540087,19.63634,18.03212,17.17095,1,0,0.076568
1237648705651802210,18.64703,16.99143,16.22824,1,0,0.064149
1237648720153084124,18.35132,16.88424,16.09278,1,0,0.06148
1237648720153149689,18.16807,16.85564,16.23869,1,0,0.04706
1237648720153280661,18.39935,16.91435,16.17918,1,0,0.050907
1237648720153411773,18.61338,17.27337,16.55645,1,0,0.094038
1237648720153477424,19.26882,18.11278,17.64504,1,0,0.078053
1237648720153673964,19.21743,17.9674,17.12938,1,0,0.114889
1237648720153739282,19.33189,18.07892,17.43992,1,0,0.117821
1237648720153739507,18.25849,17.25297,16.79509,1,0,0.051846
1237648720153804953,19.36697,17.98973,17.26313,1,0,0.094372
1237648720153935941,17.20059,15.39714,14.53332,0,1,0.044842
1237648720153936056,18.81704,17.4772,16.82904,1,0,0.073807
1237648720154263674,18.50008,17.12118,16.43785,1,0,0.088884
1237648720154263702,19.30341,18.423,17.53278,1,0,0.140376
1237648720154525835,17.67525,15.9502,15.04677,0,1,0.060086
1237648720154525836,17.51923,15.47671,14.57617,0,1,0.051597
1237648720154525915,18.77759,17.63114,17.06172,1,0,0.08602
1237648720154656941,19.96124,18.51383,17.47617,1,0,0.128237
1237648720154722389,17.97951,16.8897,16.37941,1,0,0.059511
1237648720154722402,20.223,18.54881,17.58054,1,0,0.101267
1237648720154722403,18.92096,17.87623,17.42853,1,0,0.080736
1237648720154788105,18.19817,16.40763,15.53729,0,1,0.062562
1237648720155705485,20.38223,18.59357,17.46457,1,0,0.168733
1237648720155836517,18.1693,17.1618,16.7221,1,0,0.057074
1237648720155902104,20.36217,18.6634,17.68666,1,0,0.113553
1237648720155967557,19.41199,18.03098,17.31147,1,0,0.119716
1237648720155967625,18.45849,17.11023,16.56474,1,0,0.03614
1237648720156033207,20.12644,18.38091,17.45609,1,0,0.101434
1237648720156033209,20.15124,18.45452,17.56395,1,0,0.105654
1237648720156098722,18.71196,17.50577,16.62018,1,0,0.129813
1237648720156098735,18.90936,17.94541,17.30269,1,0,0.099585
1237648720156229760,19.61527,18.08199,17.29309,1,0,0.133098
1237648720156426412,17.7764,16.55377,15.9918,1,0,0.069223
1237648720156491944,18.63191,17.4182,16.74469,1,0,0.111106
1237648720156557343,19.97544,18.19752,17.28488,1,0,0.094457
1237648720156557478,19.83852,18.55205,17.57396,1,0,0.145739
1237648720156557509,19.88845,18.68844,17.80276,1,0,0.128976
1237648720156622956,19.60979,18.276,17.43284,1,0,0.125044
1237648720156623007,19.64894,18.18942,17.56932,1,0,0.090698
1237648720156623101,19.13271,18.17179,17.51229,1,0,0.100526
1237648720156688532,17.93274,16.1846,15.29644,0,1,0.066136
1237648720156754059,18.99331,17.99416,17.32492,1,0,0.160846
1237648702985666666,20.56787,18.2637,17.31906,1,0,0.083366
1237648702985797690,24.646,18.38301,17.24029,1,0,0.110597
1237648702986322339,19.12015,17.73453,16.76435,1,0,0.117755
1237648702986518808,20.11771,18.0896,16.83289,1,0,0.131012
1237648702986846547,19.37166,18.24607,17.51997,1,0,0.082374
1237648702987108768,18.98045,17.82756,17.0813,1,0,0.102458
1237648703522078983,19.21031,17.54535,16.65948,1,0,0.082799
1237648703522210023,17.06611,15.71156,15.12621,1,0,0.040722
1237648703522537752,18.57019,17.17655,16.67785,1,0,0.047989
1237648703522537881,19.04058,17.1437,16.14557,0,1,0.096539
1237648703522603269,17.19267,15.70845,15.09393,1,0,0.044015
1237648703522668753,18.71499,17.10596,16.1242,1,0,0.086003
1237648703522668790,18.5861,17.36922,16.75928,1,0,0.078518
1237648703522668834,19.28201,18.11367,17.59814,1,0,0.085834
